retrieved,url,volume,format,date1,date2,reo,ambiguous,other,percent,incomplete
2018-01-23 17:29:01.168069,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940165;page=ssd;view=plaintext;seq=387;num=3505,414,OCR,"TUESDAY, 11 OCTOBER 1977",1977-10-11,103,6885,60635,0.17,
2018-01-23 18:05:32.609369,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940165;page=ssd;view=plaintext;seq=467;num=3585,414,OCR,"WEDNESDAY, 12 OCTOBER 1977",1977-10-12,84,1259,12910,0.65,
2018-02-20 23:23:41.568656,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166,415,OCR,26 October 1977,1977-10-26,258,3312,39961,0.64,
2018-01-23 15:00:27.166918,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=90;num=3984,415,OCR,"THURSDAY, 27 OCTOBER 1977",1977-10-27,167,1634,20546,0.81,
2018-01-23 15:14:57.954210,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=119;num=4013,415,OCR,"FRIDAY, 28 OCTOBER 1977",1977-10-28,51,2787,24485,0.21,
2018-01-23 15:38:44.680686,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=167;num=4061,415,OCR,"TUESDAY, 1 NOVEMBER 1977",1977-11-1,105,2369,27757,0.38,
2018-01-23 15:53:09.168721,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=205;num=4099,415,OCR,"WEDNESDAY, 2 NOVEMBER 1977",1977-11-2,112,3616,34078,0.33,
2018-01-23 16:23:09.900092,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=263;num=4157,415,OCR,"THURSDAY, 3 NOVEMBER 1977",1977-11-3,78,2066,23482,0.33,
2018-01-23 16:39:48.111239,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=298;num=4192,415,OCR,"FRIDAY, 4 NOVEMBER 1977",1977-11-4,56,3364,31150,0.18,
2018-01-23 17:01:59.835889,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=343;num=4237,415,OCR,"TUESDAY, 8 NOVEMBER 1977",1977-11-8,75,4183,39960,0.19,
2018-01-23 17:31:44.901319,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=399;num=4293,415,OCR,"WEDNESDAY, 9 NOVEMBER 1977",1977-11-9,313,5299,59673,0.52,
2018-01-23 18:24:31.159929,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=495;num=4389,415,OCR,"THURSDAY, 10 NOVEMBER 1977",1977-11-10,70,2109,23435,0.3,
2018-01-23 18:48:00.541661,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=532;num=4426,415,OCR,"FRIDAY, 11 NOVEMBER 1977",1977-11-11,55,2215,22018,0.25,
2018-01-23 19:09:47.131574,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=565;num=4459,415,OCR,"TUESDAY, 15 NOVEMBER 1977",1977-11-15,64,2642,24720,0.26,
2018-01-23 19:30:04.113420,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=603;num=4497,415,OCR,"WEDNESDAY, 16 NOVEMBER 1977",1977-11-16,67,2933,29914,0.22,
2018-01-23 19:54:46.382341,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=646;num=4540,415,OCR,"THURSDAY, 17 NOVEMBER 1977",1977-11-17,137,4457,42495,0.32,
2018-01-23 20:28:02.386404,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940166;page=ssd;view=plaintext;seq=708;num=4602,415,OCR,"FRIDAY, 18 NOVEMBER 1977",1977-11-18,94,2301,22473,0.42,
2018-02-20 23:22:28.010673,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167,416,OCR,23 November 1977,1977-11-23,389,4067,45338,0.85,
2018-01-23 15:52:20.786356,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=176;num=4740,416,OCR,"THURSDAY, 24 NOVEMBER 1977",1977-11-24,258,3287,31361,0.82,
2018-01-23 16:21:28.509951,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=228;num=4792,416,OCR,"FRIDAY, 25 NOVEMBER 1977",1977-11-25,76,2132,21681,0.35,
2018-01-23 16:36:25.154898,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=260;num=4824,416,OCR,"TUESDAY, 29 NOVEMBER 1977",1977-11-29,108,3797,36298,0.3,
2018-01-23 17:02:57.225477,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=314;num=4878,416,OCR,"WEDNESDAY, 30 NOVEMBER 1977",1977-11-30,91,1629,16573,0.55,
2018-01-23 17:17:50.661184,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=340;num=4904,416,OCR,"THURSDAY, 1 DECEMBER 1977",1977-12-1,292,4024,37841,0.77,
2018-01-23 17:46:54.978621,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=397;num=4961,416,OCR,"FRIDAY, 2 DECEMBER 1977",1977-12-2,147,2602,22655,0.64,
