url,volume,date,reo,ambiguous,other,percent,retrieved,format,incomplete
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=462;num=416,A,"Tuesday, 12th September, 1854",4,336,2824,0.14,2018-01-17 17:34:11.191312,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=466;num=420,A,"Wednesday, 13th September, 1851",0,2,66,0,2018-01-17 17:34:19.566576,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=466;num=420,A,"Wednesday, 13th September, 1854",15,556,5556,0.27,2018-01-17 17:34:19.566576,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=474;num=428,A,"Thursday, 14th September, 1854",0,45,562,0,2018-01-17 17:34:35.882882,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=475;num=429,A,"Thursday, 14th September, 1854",9,440,5023,0.18,2018-01-17 17:34:38.137950,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=482;num=436,A,"Friday, 15th September, 1854",3,512,5922,0.05,2018-01-17 17:35:08.709390,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=489;num=443,A,"Friday, 15th September, 1854",10,627,6945,0.14,2018-01-17 17:35:54.207692,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=497;num=451,A,"Saturday, I6th September, 1854",2,169,1806,0.11,2018-01-17 17:36:09.630972,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=499;num=453,A,"Saturday, 16th September, 1854",0,184,1740,0,2018-01-17 17:36:13.590365,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=505;num=459,A,"Wednesday, 8th August, 1355",2,178,1786,0.11,2018-01-17 17:36:36.281739,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=507;num=461,A,"Wednesday, 8th August, 1855",14,498,4636,0.3,2018-01-17 17:36:41.212567,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=512;num=466,A,"Thursday, 9th August, 1855",2,53,576,0.35,2018-01-17 17:36:52.194496,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=513;num=467,A,"Friday, 10th August, 1855",62,857,8432,0.73,2018-01-17 17:36:54.480997,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=523;num=477,A,"Tuesday, 14th August, 1855",0,83,680,0,2018-01-17 17:37:17.361825,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=523;num=477,A,"Tuesday, 14th August, 1855",8,867,8490,0.09,2018-01-17 17:37:17.361825,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=533;num=487,A,"Wednesday, 15th August, 18G5",0,38,445,0,2018-01-17 17:37:37.384002,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=534;num=488,A,"Friday, 17th August, 1855",0,146,1974,0,2018-01-17 17:37:39.893163,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=536;num=490,A,"Tuesday, 21st August, 1855",0,89,898,0,2018-01-17 17:37:49.361651,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=537;num=491,A,"Tuesday, 21st August, 1855",9,614,5780,0.16,2018-01-17 17:37:51.160895,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=544;num=498,A,"Wednesday, 23nd August, 1855",0,17,184,0,2018-01-17 17:38:04.505760,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=544;num=498,A,"Thursday, 23rd August, 1855",3,159,1399,0.21,2018-01-17 17:38:04.505760,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=546;num=500,A,"Friday, 24th August, 1855",7,334,3492,0.2,2018-01-17 17:38:08.283395,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=550;num=504,A,"Tuesday, 28th August, 1855",0,7,112,0,2018-01-17 17:38:21.992493,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=550;num=504,A,"Tuesday, 28th August, 1855",49,785,8122,0.6,2018-01-17 17:38:21.992493,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=559;num=513,A,"Wednesday, 29th August, 18S5",1,148,1749,0.06,2018-01-17 17:38:52.354417,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=561;num=515,A,"Tlmrsday, 30th August, 1855",7,248,2410,0.29,2018-01-17 17:38:55.964811,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=565;num=519,A,"Friday, 31st August, 1855",0,10,116,0,2018-01-17 17:39:03.395645,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=565;num=519,A,"Friday, 31st August, 18S5",0,85,963,0,2018-01-17 17:39:03.395645,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=567;num=521,A,"Saturday, 1st September, 1855",1,120,1213,0.08,2018-01-17 17:39:07.395388,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=569;num=523,A,"Monday, 3rd September, 1855",0,71,738,0,2018-01-17 17:39:11.009190,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=570;num=524,A,"Tuesday, 4th September, 1855",0,7,145,0,2018-01-17 17:39:12.873102,OCR,
