Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:27:27.928250,/en/pb/hansard-debates/rhr/document/48HansD_20080523/volume-647-week-75-thursday-22-may-2008-continued-on,22-May-2008  ,"Parliamentary Debates (Hansard) for Thursday, 22 May 2008(continued on Friday, 23 May 2008)  ",90,2206,34912,0.2571281641049083,
2018-01-10 16:27:29.936745,/en/pb/hansard-debates/rhr/document/48HansD_20080527/volume-647-week-76-tuesday-27-may-2008,27-May-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 27 May 2008  ",222,3185,53741,0.4113929914941719,
2018-01-10 16:27:32.498096,/en/pb/hansard-debates/rhr/document/48HansD_20080528/volume-647-week-76-wednesday-28-may-2008,28-May-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 28 May 2008  ",184,3001,51981,0.35272692418288126,
2018-01-10 16:27:35.136405,/en/pb/hansard-debates/rhr/document/48HansD_20080529/volume-647-week-76-thursday-29-may-2008,29-May-2008  ,"Parliamentary Debates (Hansard) for Thursday, 29 May 2008  ",125,1824,31222,0.39876224200082944,
2018-01-10 16:27:37.062240,/en/pb/hansard-debates/rhr/document/48HansD_20080617/volume-647-week-77-tuesday-17-june-2008,17-Jun-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 17 June 2008  ",164,2941,49275,0.3317219199417464,
2018-01-10 16:27:39.407225,/en/pb/hansard-debates/rhr/document/48HansD_20080618/volume-647-week-77-wednesday-18-june-2008,18-Jun-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 18 June 2008  ",995,3125,50925,1.9164098613251155,
2018-01-10 16:27:41.699982,/en/pb/hansard-debates/rhr/document/48HansD_20080619/volume-647-week-77-thursday-19-june-2008,19-Jun-2008  ,"Parliamentary Debates (Hansard) for Thursday, 19 June 2008  ",168,1799,29689,0.5626821180962588,
2018-01-10 16:27:43.604297,/en/pb/hansard-debates/rhr/document/48HansD_20080624/volume-648-week-78-tuesday-24-june-2008,24-Jun-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 24 June 2008  ",1810,2976,48206,3.618841970569418,
2018-01-10 16:27:46.049020,/en/pb/hansard-debates/rhr/document/48HansD_20080625/volume-648-week-78-wednesday-25-june-2008,25-Jun-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 25 June 2008  ",2502,3186,44184,5.359208327978409,
2018-01-10 16:27:48.528168,/en/pb/hansard-debates/rhr/document/48HansD_20080626/volume-648-week-78-thursday-26-june-2008,26-Jun-2008  ,"Parliamentary Debates (Hansard) for Thursday, 26 June 2008  ",100,1730,30860,0.32299741602067183,
2018-01-10 16:27:50.423291,/en/pb/hansard-debates/rhr/document/48HansD_20080701/volume-648-week-79-tuesday-1-july-2008,01-Jul-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 1 July 2008  ",110,2868,46622,0.23538474706838997,
