Date retreived,Hansard document url,wā,title,Te Reo length,Ambiguous length,Other length,is Māori (%),awaiting authorised reo
2017-12-20 15:52:53.533370,/en/pb/hansard-debates/rhr/document/51HansD_20150703/volume-706-week-21-tuesday-30-june-2015,30-Jun-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 30 June 2015  ",34,3093,51495,0.06598226241533893,
2017-12-20 15:52:56.093045,/en/pb/hansard-debates/rhr/document/51HansD_20150701/volume-706-week-21-wednesday-1-july-2015,01-Jul-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 1 July 2015  ",623,3445,50929,1.2084885164494104,
2017-12-20 15:52:58.557067,/en/pb/hansard-debates/rhr/document/51HansD_20150702/volume-706-week-21-thursday-2-july-2015,02-Jul-2015  ,"Parliamentary Debates (Hansard) for Thursday, 2 July 2015  ",58,1577,24963,0.23180528356180807,
2017-12-20 15:53:00.851070,/en/pb/hansard-debates/rhr/document/51HansD_20150721/volume-707-week-22-tuesday-21-july-2015,21-Jul-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 21 July 2015  ",114,3006,49786,0.22845691382765532,
2017-12-20 15:53:03.357075,/en/pb/hansard-debates/rhr/document/51HansD_20150722/volume-707-week-22-wednesday-22-july-2015,22-Jul-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 22 July 2015  ",125,3376,51868,0.24041697920873964,
2017-12-20 15:53:05.917008,/en/pb/hansard-debates/rhr/document/51HansD_20150723/volume-707-week-22-thursday-23-july-2015,23-Jul-2015  ,"Parliamentary Debates (Hansard) for Thursday, 23 July 2015  ",71,2032,32009,0.2213216957605985,
2017-12-20 15:53:07.894787,/en/pb/hansard-debates/rhr/document/51HansD_20150728/volume-707-week-23-tuesday-28-july-2015,28-Jul-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 28 July 2015  ",1267,4204,54473,2.273053462504485,
2017-12-20 15:53:10.725604,/en/pb/hansard-debates/rhr/document/51HansD_20150729/volume-707-week-23-wednesday-29-july-2015,29-Jul-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 29 July 2015  ",1064,4251,52628,1.98167324741116,
2017-12-20 15:53:13.462656,/en/pb/hansard-debates/rhr/document/51HansD_20150730/volume-707-week-23-thursday-30-july-2015,30-Jul-2015  ,"Parliamentary Debates (Hansard) for Thursday, 30 July 2015  ",182,2047,31044,0.5828476269775187,
2017-12-20 15:53:15.472100,/en/pb/hansard-debates/rhr/document/51HansD_20150811/volume-707-week-24-tuesday-11-august-2015,11-Aug-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 11 August 2015  ",462,3322,51434,0.8902420225065516,
2017-12-20 15:53:17.953286,/en/pb/hansard-debates/rhr/document/51HansD_20150814/volume-707-week-24-tuesday-11-august-2015-continued,11-Aug-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 11 August 2015(continued on Wednesday, 12 August 2015)  ",5953,4909,25714,18.798749486847505,
2017-12-20 15:53:19.923519,/en/pb/hansard-debates/rhr/document/51HansD_20150812/volume-707-week-24-wednesday-12-august-2015,12-Aug-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 12 August 2015  ",224,3467,53095,0.420112905343311,
2017-12-20 15:53:22.568152,/en/pb/hansard-debates/rhr/document/51HansD_20150813/volume-707-week-24-thursday-13-august-2015,13-Aug-2015  ,"Parliamentary Debates (Hansard) for Thursday, 13 August 2015  ",66,1839,31397,0.20977020627403617,
2017-12-20 15:53:24.588423,/en/pb/hansard-debates/rhr/document/51HansD_20150818/volume-707-week-25-tuesday-18-august-2015,18-Aug-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 18 August 2015  ",119,3175,55392,0.21437192628488047,
2017-12-20 15:53:27.569429,/en/pb/hansard-debates/rhr/document/51HansD_20150819/volume-707-week-25-wednesday-19-august-2015,19-Aug-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 19 August 2015  ",43,3871,54437,0.078928046989721,
2017-12-20 15:53:30.279864,/en/pb/hansard-debates/rhr/document/51HansD_20150820/volume-707-week-25-thursday-20-august-2015,20-Aug-2015  ,"Parliamentary Debates (Hansard) for Thursday, 20 August 2015  ",163,2161,29950,0.5412944575432538,
2017-12-20 15:53:32.303909,/en/pb/hansard-debates/rhr/document/51HansD_20150825/volume-708-week-26-tuesday-25-august-2015,25-Aug-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 25 August 2015  ",44,3152,47007,0.09351554695968205,
2017-12-20 15:53:34.953659,/en/pb/hansard-debates/rhr/document/51HansD_20150826/volume-708-week-26-wednesday-26-august-2015,26-Aug-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 26 August 2015  ",95,3600,54432,0.1742256129990647,
2017-12-20 15:53:37.589696,/en/pb/hansard-debates/rhr/document/51HansD_20150827/volume-708-week-26-thursday-27-august-2015,27-Aug-2015  ,"Parliamentary Debates (Hansard) for Thursday, 27 August 2015  ",86,2018,32064,0.26749611197511663,
2017-12-20 15:53:39.525291,/en/pb/hansard-debates/rhr/document/51HansD_20150908/volume-708-week-27-tuesday-8-september-2015,08-Sep-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 8 September 2015  ",54,3118,53238,0.1013285296104481,
2017-12-20 15:53:42.030566,/en/pb/hansard-debates/rhr/document/51HansD_20150911/volume-708-week-27-tuesday-8-september-2015-continued,08-Sep-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 8 September 2015(continued on Wednesday, 9 September 2015)  ",7576,6054,25278,23.059597004930907,
2017-12-20 15:53:44.103154,/en/pb/hansard-debates/rhr/document/51HansD_20150909/volume-708-week-27-wednesday-9-september-2015,09-Sep-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 9 September 2015  ",257,3413,49998,0.5113919013033529,
2017-12-20 15:53:46.739527,/en/pb/hansard-debates/rhr/document/51HansD_20150910/volume-708-week-27-thursday-10-september-2015,10-Sep-2015  ,"Parliamentary Debates (Hansard) for Thursday, 10 September 2015  ",31,2053,34019,0.09104258443465492,
2017-12-20 15:53:48.799844,/en/pb/hansard-debates/rhr/document/51HansD_20150915/volume-708-week-28-tuesday-15-september-2015,15-Sep-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 15 September 2015  ",587,3166,51300,1.131304565690828,
2017-12-20 15:53:51.356079,/en/pb/hansard-debates/rhr/document/51HansD_20150916/volume-708-week-28-wednesday-16-september-2015,16-Sep-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 16 September 2015  ",200,3399,53125,0.3750586029067042,
2017-12-20 15:53:53.922871,/en/pb/hansard-debates/rhr/document/51HansD_20150918/volume-708-week-28-wednesday-16-september-2015-continued,16-Sep-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 16 September 2015(continued on Thursday, 17 September 2015)  ",96,1243,21324,0.4481792717086835,
2017-12-20 15:53:55.328803,/en/pb/hansard-debates/rhr/document/51HansD_20150917/volume-708-week-28-thursday-17-september-2015,17-Sep-2015  ,"Parliamentary Debates (Hansard) for Thursday, 17 September 2015  ",30,1799,31055,0.09650957053241113,
2017-12-20 15:53:57.305739,/en/pb/hansard-debates/rhr/document/51HansD_20150922/volume-709-week-29-tuesday-22-september-2015,22-Sep-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 22 September 2015  ",19,2987,47664,0.039846486169074935,
2017-12-20 15:53:59.732199,/en/pb/hansard-debates/rhr/document/51HansD_20150923/volume-709-week-29-wednesday-23-september-2015,23-Sep-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 23 September 2015  ",83,3618,53445,0.15505903452398745,
2017-12-20 15:54:02.454122,/en/pb/hansard-debates/rhr/document/51HansD_20150925/volume-709-week-29-wednesday-23-september-2015-continued,23-Sep-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 23 September 2015(continued on Thursday, 24 September 2015)  ",79,2080,32509,0.24242052289186203,
2017-12-20 15:54:04.309804,/en/pb/hansard-debates/rhr/document/51HansD_20150924/volume-709-week-29-thursday-24-september-2015,24-Sep-2015  ,"Parliamentary Debates (Hansard) for Thursday, 24 September 2015  ",55,1759,27835,0.19720329867335962,
2017-12-20 15:54:06.220644,/en/pb/hansard-debates/rhr/document/51HansD_20151013/volume-709-week-30-tuesday-13-october-2015,13-Oct-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 13 October 2015  ",131,2959,51488,0.2537825219395959,
2017-12-20 15:54:08.850301,/en/pb/hansard-debates/rhr/document/51HansD_20151014/volume-709-week-30-wednesday-14-october-2015,14-Oct-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 14 October 2015  ",269,3515,53640,0.4989890370810069,
2017-12-20 15:54:11.473369,/en/pb/hansard-debates/rhr/document/51HansD_20151015/volume-709-week-30-thursday-15-october-2015,15-Oct-2015  ,"Parliamentary Debates (Hansard) for Thursday, 15 October 2015  ",528,2332,30689,1.6913861037255342,
2017-12-20 15:54:13.384057,/en/pb/hansard-debates/rhr/document/51HansD_20151020/volume-709-week-31-tuesday-20-october-2015,20-Oct-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 20 October 2015  ",47,3026,52880,0.08880155686133731,
2017-12-20 15:54:16.021517,/en/pb/hansard-debates/rhr/document/51HansD_20151021/volume-709-week-31-wednesday-21-october-2015,21-Oct-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 21 October 2015  ",396,3246,48266,0.8137766635156796,
2017-12-20 15:54:18.492484,/en/pb/hansard-debates/rhr/document/51HansD_20151022/volume-709-week-31-thursday-22-october-2015,22-Oct-2015  ,"Parliamentary Debates (Hansard) for Thursday, 22 October 2015  ",117,1986,31490,0.3701711646154333,
2017-12-20 15:54:20.680463,/en/pb/hansard-debates/rhr/document/51HansD_20151103/volume-709-week-32-tuesday-3-november-2015,03-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 3 November 2015  ",129,3133,50689,0.25384706206462276,
2017-12-20 15:54:23.810369,/en/pb/hansard-debates/rhr/document/51HansD_20151109/volume-709-week-32-tuesday-3-november-2015-continued,03-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 3 November 2015(continued on Wednesday, 4 November 2015)  ",20,2107,32537,0.06143072150382406,
