retrieved,url,name,period,session,format,downloaded,processed
2018-02-20 23:21:12.737108,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788741,175,9 May 1916 – 15 June 1916,19th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:14.203849,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788758,176,16 June 1916 – 11 July 1916,19th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:58.427087,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788766,177,12 July 1916 – 8 August 1916,19th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:53.912897,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788774,178,28 June 1917 – 3 August 1917,19th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:10.152379,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788782,179,7 August 1917 – 7 September 1917,19th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:10.636407,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788790,180,11 September 1917 – 10 October 1917,19th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:14.147070,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788808,181,11 October 1917 – 1 November 1917,19th Parliament: 3rd session,OCR,True,True
2018-02-20 23:22:37.422720,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788816,182,9 April 1918 – 15 April 1918,19th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:01.799289,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788824,183,24 October 1918 – 10 December 1918,19th Parliament: 5th session,OCR,True,True
2018-02-20 23:21:06.008519,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788832,184,28 August 1919 – 2 October 1919,19th Parliament: 6th session,OCR,True,True
2018-02-20 23:22:56.322254,https://babel.hathitrust.org/cgi/ssd?id=uc1.a0001800556,185,3 October 1919 - 5 November 1919,19th Parliament: 6th session,OCR,True,True
2018-02-20 23:20:47.043126,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788857,186,24 June 1920 – 5 August 1920,20th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:47.678164,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890198,187,6 August 1920 – 24 September 1920,20th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:45.050009,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788873,188,27 September 1920 – 22 October 1920,20th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:54.402926,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929089,189,25 October 1920 – 11 November 1920,20th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:44.635000,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929097,190,10 March 1921 – 22 March 1921,20th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:46.961131,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929105,191,22 September 1921 – 2 November 1921,20th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:53.844897,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929113,192,3 November 1921 – 14 December 1921,20th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:49.968298,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929121,193,15 December 1921 – 31 January 1922,20th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:45.043022,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929139,194,1 February 1922 – 11 February 1922,20th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:45.536037,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929147,195,30 June 1922 – 2 August 1922,20th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:53.445871,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929154,196,3 August 1922 – 13 September 1922,20th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:54.138911,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929162,197,14 September 1922 – 9 October 1922,20th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:54.723949,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929170,198,10 October 1922 – 31 October 1922,20th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:45.422030,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929188,199,7 February 1923 – 17 February 1923,21st Parliament: 1st session,OCR,True,True
2018-02-20 23:20:47.632173,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929196,200,14 June 1923 – 18 July 1923,21st Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:45.530048,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929204,201,19 July 1923 – 13 August 1923,21st Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:54.184915,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929212,202,14 August 1923 – 29 August 1923,21st Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:55.434993,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929220,203,26 June 1924 – 12 August 1924,21st Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:51.887750,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929410,204,13 August 1924 – 29 September 1924,21st Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:51.605731,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929238,205,30 September 1924 – 6 November 1924,21st Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:47.544165,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929246,206,25 June 1925 – 29 July 1925,21st Parliament: 4th session,OCR,True,True
2018-02-20 23:20:55.753032,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929253,207,30 July 1925 – 2 September 1925,21st Parliament: 4th session,OCR,True,True
2018-02-20 23:20:52.153934,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929261,208,3 September 1925 – 1 October 1925,21st Parliament: 4th session,OCR,True,True
2018-02-20 23:20:53.874897,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929279,209,16 June 1926 – 30 July 1926,22nd Parliament: 1st session,OCR,True,True
2018-02-20 23:20:51.236713,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929287,210,3 August 1926 – 28 August 1926,22nd Parliament: 1st session,OCR,True,True
2018-02-20 23:20:50.674339,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929295,211,30 August 1926 – 11 September 1926,22nd Parliament: 1st session,OCR,True,True
2018-02-20 23:20:55.557995,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929303,212,23 June 1927 – 27 July 1927,22nd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:53.060851,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929311,213,28 July 1927 – 9 September 1927,22nd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:50.135302,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929329,214,13 September 1927 – 14 October 1927,22nd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:55.558995,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929337,215,17 October 1927 – 9 November 1927,22nd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:56.429803,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929345,216,10 November 1927 – 5 December 1927,22nd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:52.096759,https://babel.hathitrust.org/cgi/ssd?id=uc1.a0001800861,217,28 June 1928 - 3 August 1928,22nd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:54.047906,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929360,218,7 August 1928 – 4 September 1928,22nd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:54.021905,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929378,219,5 September 1928 – 9 October 1928,22nd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:49.417261,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929386,220,4 December 1928 – 14 December 1928,23rd Parliament: 1st session,OCR,True,True
2018-02-20 23:20:47.768167,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929394,221,27 June 1929 – 6 August 1929,23rd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:55.566995,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929402,222,7 August 1929 – 20 September 1929,23rd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:54.811951,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890228,223,24 September 1929 – 9 November 1929,23rd Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:54.536934,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929436,224,26 June 1930 – 6 August 1930,23rd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:54.835953,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929444,225,7 August 1930 – 18 September 1930,23rd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:53.436869,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929451,226,19 September 1930 – 25 October 1930,23rd Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:57.017733,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929469,227,11 March 1931 – 28 April 1931,23rd Parliament: 4th session,OCR,True,True
2018-02-20 23:20:59.745172,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929477,228,25 June 1931 – 31 July 1931,23rd Parliament: 5th session,OCR,True,True
2018-02-20 23:21:00.926226,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929485,229,4 August 1931 – 22 September 1931,23rd Parliament: 5th session,OCR,True,True
2018-02-20 23:21:02.312307,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929493,230,2 October 1931 – 11 November 1931,23rd Parliament: 5th session,OCR,True,True
2018-02-20 23:21:01.213242,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929501,231,23 February 1932 – 12 April 1932,24th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:59.688155,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929519,232,13 April 1932 – 10 May 1932,24th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:02.906343,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929527,233,22 September 1932 – 28 October 1932,24th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:01.750272,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929535,234,1 November 1932 – 9 December 1932,24th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:07.364604,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890240,235,26 January 1933 – 10 March 1933,24th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:04.271426,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929550,236,21 September 1933 – 31 October 1933,24th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:03.145355,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929568,237,1 November 1933 – 22 December 1933,24th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:02.987357,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929576,238,28 June 1934 – 3 August 1934,24th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:07.993636,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929584,239,7 August 1934 – 14 September 1934,24th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:04.021405,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890245,240,18 September 1934 – 10 November 1934,24th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:12.182075,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929600,241,13 February 1935 – 5 April 1935,24th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:05.707502,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929618,242,29 August 1935 – 26 September 1935,24th Parliament: 5th session,OCR,True,True
2018-02-20 23:21:03.530375,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929626,243,27 September 1935 – 26 October 1935,24th Parliament: 5th session,OCR,True,True
2018-02-20 23:21:06.123529,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929634,244,25 March 1936 – 6 May 1936,25th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:03.840394,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929642,245,7 May 1936 – 11 June 1936,25th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:04.623440,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929659,246,21 July 1936 – 3 September 1936,25th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:05.077471,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929667,247,25 March 1936 – 31 October 1936,25th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:05.503521,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929675,248,9 September 1937 – 29 October 1937,25th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:10.131379,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929683,249,2 November 1937 – 10 December 1937,25th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:05.171474,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929691,250,1 March 1938 – 15 March 1938,25th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:05.358483,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929709,251,28 June 1938 – 3 August 1938,25th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:04.859452,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929717,252,4 August 1938 – 26 August 1938,25th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:05.137472,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929725,253,30 August 1938 – 16 September 1938,25th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:51.581569,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929733,254,27 June 1939 – 3 August 1939,26th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:05.313481,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929741,255,4 August 1939 – 31 August 1939,26th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:06.207532,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929758,256,1 September 1939 – 7 October 1939,26th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:08.248655,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929766,257,30 May 1940 – 30 August 1940,26th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:12.487092,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929774,258,1 October 1940 – 6 December 1940,26th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:12.118068,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929782,259,12 March 1941 – 6 August 1941,26th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:12.291081,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890264,260,7 August 1941 – 17 October 1941,26th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:08.048638,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2890262,261,11 December 1941 – 4 December 1942,26th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:09.901367,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929808,262,24 February 1943 – 24 June 1943,26th Parliament: 5th session,OCR,True,True
2018-02-20 23:21:13.156133,https://babel.hathitrust.org/cgi/ssd?id=uc1.a0001757616,263,25 June 1943 – 26 August 1943,26th Parliament: 5th session,OCR,True,True
